Ad type,Flash / HTML5,Option Tested,Expected Result,,Mac Chrome,Mac Safari,Mac Firefox,IOS8 IPhone Safari,IOS8 IPhone Chrome,IOS8 IPad Safari,IOS8 IPad chrome,IOS9 Iphone Safari,IOS9 Iphone Chrome,Windows Chrome,Windows Firefox,Windows IE11,Windows Edge,Android Lollipop,Android Kitkat,Android Jellybean
MP4,HTML5,In-content Looping - JS,Ad should loop without user interaction,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96983&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=1&spotx_collapse=&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=c,Pass,,,,,,,,,Pass,Pass,Pass,pass,,,
MP4,HTML5,In-content Click To replay - JS,Ad should play once then show user a play button to replay the ad,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96983&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=&spotx_click_to_replay=1&iframe=,pass,,,,,,,,,Pass,Pass,pass,pass,,,
MP4,HTML5,In-content Mouse in/out - JS,"Ad should start muted, when the users mouse enters the video frame the sound should turn on and back off when the mouse leaves the video frame","http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96983&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=1&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=1&spotx_click_to_replay=&iframe=""",Pass,,,N/A,N/A,N/A,N/A,N/A,N/A,Pass,Pass,pass,pass,N/A,N/A,N/A
MP4,HTML5,In-content Collapse - JS,Ad should collapse when it completes,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96983&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=0&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=&spotx_collapse=1&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=&spotx_https=,pass,,,,,,,,,Pass,Pass,pass,pass,,,
MP4,HTML5,In-content Inside iframe - JS,Ad should collapse when it completes,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96983&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=&spotx_collapse=1&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=1&spotx_https=,pass,,,,,,,,,Pass,Pass,pass,pass,,,
Timeout,HTML5,In-content Collapse,We should see a timeout exception beacon in charles and the player should collapse after failing to play an ad,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&delay_page_load=&spotx_defer_execution=&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=97048&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=60&spotx_content_page_url=http%3A%2F%2Fstage3.lod.search.spotxchange.com&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=&spotx_https=&app%5Bspotx_app_name%5D=&app%5Bspotx_app_domain%5D=&app%5Bspotx_app_cat%5D=&app%5Bspotx_app_ver%5D=&app%5Bspotx_app_bundle%5D=&app%5Bspotx_app_privacypolicy%5D=&app%5Bspotx_app_storeurl%5D=&device%5Bspotx_device_ifa%5D=&device%5Bspotx_device_carrier%5D=&device%5Bspotx_device_os%5D=&device%5Bspotx_device_osv%5D=&device%5Bspotx_device_make%5D=&device%5Bspotx_device_model%5D=&device%5Bspotx_device_ua%5D=&device%5Bspotx_device_geo_lat%5D=&device%5Bspotx_device_geo_lon%5D=&device%5Bspotx_device_devicetype%5D=&device%5Bspotx_device_dnt%5D=&device%5Bspotx_device_connectiontype%5D=&user%5Bspotx_user_yob%5D=&user%5Bspotx_user_geo_lat%5D=&user%5Bspotx_user_geo_lon%5D=&spotx_query_params=&custom=,pass,,,,,,,,,Pass,Pass,pass,pass,,,
Timeout,HTML5,In-stream Timeout,We should see a timeout exception beacon in charles and after the ad fails the video content should start playback.,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=instream&delay_page_load=&spotx_defer_execution=&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=97048&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=60&spotx_content_page_url=http%3A%2F%2Fstage3.lod.search.spotxchange.com&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=&spotx_https=&app%5Bspotx_app_name%5D=&app%5Bspotx_app_domain%5D=&app%5Bspotx_app_cat%5D=&app%5Bspotx_app_ver%5D=&app%5Bspotx_app_bundle%5D=&app%5Bspotx_app_privacypolicy%5D=&app%5Bspotx_app_storeurl%5D=&device%5Bspotx_device_ifa%5D=&device%5Bspotx_device_carrier%5D=&device%5Bspotx_device_os%5D=&device%5Bspotx_device_osv%5D=&device%5Bspotx_device_make%5D=&device%5Bspotx_device_model%5D=&device%5Bspotx_device_ua%5D=&device%5Bspotx_device_geo_lat%5D=&device%5Bspotx_device_geo_lon%5D=&device%5Bspotx_device_devicetype%5D=&device%5Bspotx_device_dnt%5D=&device%5Bspotx_device_connectiontype%5D=&user%5Bspotx_user_yob%5D=&user%5Bspotx_user_geo_lat%5D=&user%5Bspotx_user_geo_lon%5D=&spotx_query_params=&custom=,pass,,,,,,,,,Pass,Pass,pass,pass,,,
Mixpo,Flash,In-content Mouse in/out - AS3,"Ad should start muted, when the users mouse enters the video frame the sound should turn on and back off when the mouse leaves the video frame",http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&ad_count=1&spotx_ad_format=swf&spotx_banner_size=&spotx_channel_id=96980&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=1&spotx_click_to_replay=&iframe=&spotx_https=,pass,,,N/A,N/A,N/A,N/A,N/A,N/A,Pass,,pass,pass,N/A,N/A,N/A
Mixpo,HTML5, In-content Inside iframe - JS,Ad should collapse when it completes,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96980&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=&spotx_force_mwa=&spotx_loop=&spotx_collapse=1&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=1&spotx_https=,pass,,,,,,,,,Pass,Fail - Slots in fullscreen broken - YWS-7623,pass,pass,,,
Telemetry,HTML5,In-content Mouse in/out - JS,"Ad should start muted, when the users mouse enters the video frame the sound should turn on and back off when the mouse leaves the video frame",http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&delay_page_load=&spotx_defer_execution=&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96982&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_page_url=http%3A%2F%2Fstage3.lod.search.spotxchange.com&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=1&spotx_click_to_replay=&iframe=0&spotx_https=&app[spotx_app_name]=&app[spotx_app_domain]=&app[spotx_app_cat]=&app[spotx_app_ver]=&app[spotx_app_bundle]=&app[spotx_app_privacypolicy]=&app[spotx_app_storeurl]=&device[spotx_device_ifa]=&device[spotx_device_carrier]=&device[spotx_device_os]=&device[spotx_device_osv]=&device[spotx_device_make]=&device[spotx_device_model]=&device[spotx_device_ua]=&device[spotx_device_geo_lat]=&device[spotx_device_geo_lon]=&device[spotx_device_devicetype]=&device[spotx_device_dnt]=&device[spotx_device_connectiontype]=&user[spotx_user_yob]=&user[spotx_user_geo_lat]=&user[spotx_user_geo_lon]=&spotx_query_params=&custom=,pass,,,N/A,N/A,N/A,N/A,N/A,N/A,Pass,Pass,fail(YWS-9270),pass,N/A,N/A,N/A
Innovid,HTML5,In-content Collapse - JS,Ad should collapse when it completes,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&delay_page_load=&spotx_defer_execution=&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96979 &spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_page_url=http%3A%2F%2Fstage3.lod.search.spotxchange.com&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=&spotx_force_mwa=&spotx_loop=&spotx_collapse=1&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=0&spotx_https=&app[spotx_app_name]=&app[spotx_app_domain]=&app[spotx_app_cat]=&app[spotx_app_ver]=&app[spotx_app_bundle]=&app[spotx_app_privacypolicy]=&app[spotx_app_storeurl]=&device[spotx_device_ifa]=&device[spotx_device_carrier]=&device[spotx_device_os]=&device[spotx_device_osv]=&device[spotx_device_make]=&device[spotx_device_model]=&device[spotx_device_ua]=&device[spotx_device_geo_lat]=&device[spotx_device_geo_lon]=&device[spotx_device_devicetype]=&device[spotx_device_dnt]=&device[spotx_device_connectiontype]=&user[spotx_user_yob]=&user[spotx_user_geo_lat]=&user[spotx_user_geo_lon]=&spotx_query_params=&custom=,,,,,,,,,,Pass,Pass,pass,pass,,,
Sizmek,HTML5,In-content Mouse in/out - JS,"Ad should start muted, when the users mouse enters the video frame the sound should turn on and back off when the mouse leaves the video frame",http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96981&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=1&spotx_click_to_replay=&iframe=&spotx_https=,,,,N/A,N/A,N/A,N/A,N/A,N/A,Pass,Pass,pass,pass,N/A,N/A,N/A
Sizmek,HTML5,In-content Collapse - JS,Ad should collapse when it completes,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96981&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=&spotx_force_mwa=&spotx_loop=&spotx_collapse=1&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=&spotx_https=,,,,,,,,,,Pass,,pass,pass,,,
MP4,HTML5,Instream HTML5,Ad should play once then transition to the content video,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=instream&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96983&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=&spotx_https=,,,,,,,,,,Pass,Pass,pass,pass,,,
Mixpo,HTML5,Instream HTML5,Ad should play once then transition to the content video,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=instream&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96980&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=&spotx_https=,,,,,,,,,,Pass,Pass,pass,pass,,,
Sizmek,HTML5,Instream HTML5,Ad should play once then transition to the content video,http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=instream&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96981&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=&spotx_https=,,,,,,,,,,Pass,Pass,fail? ,pass,,,
MP4,HTML5,10 second page load delay In-content- JS,Check charles makes sure that there is a call to spotmarket (a vast response) before the easi.html page finishes loading,"http://stage3.lod.search.spotxchange.com/test/ad/js/easi/EASI.html?easi_version=2&spotx_ad_unit=incontent&delay_page_load=10&spotx_defer_execution=&ad_count=1&spotx_ad_format=html5&spotx_banner_size=&spotx_channel_id=96983&spotx_content_width=400&spotx_content_height=300&spotx_ad_max_duration=30&spotx_content_page_url=http%3A%2F%2Fstage3.lod.search.spotxchange.com&spotx_content_url=https%3A%2F%2Fia700406.us.archive.org%2F30%2Fitems%2FTreyBarthSample1Sample1mp4%2FSample_1_512kb.mp4&spotx_custom_skin=&spotx_autoplay=&spotx_ad_volume=70&spotx_ad_mute=0&spotx_force_mwa=&spotx_loop=&spotx_collapse=&spotx_unmute_on_mouse=&spotx_click_to_replay=&iframe=&spotx_https=&app%5Bspotx_app_name%5D=&app%5Bspotx_app_domain%5D=&app%5Bspotx_app_cat%5D=&app%5Bspotx_app_ver%5D=&app%5Bspotx_app_bundle%5D=&app%5Bspotx_app_privacypolicy%5D=&app%5Bspotx_app_storeurl%5D=&device%5Bspotx_device_ifa%5D=&device%5Bspotx_device_carrier%5D=&device%5Bspotx_device_os%5D=&device%5Bspotx_device_osv%5D=&device%5Bspotx_device_make%5D=&device%5Bspotx_device_model%5D=&device%5Bspotx_device_ua%5D=&device%5Bspotx_device_geo_lat%5D=&device%5Bspotx_device_geo_lon%5D=&device%5Bspotx_device_devicetype%5D=&device%5Bspotx_device_dnt%5D=&device%5Bspotx_device_connectiontype%5D=&user%5Bspotx_user_yob%5D=&user%5Bspotx_user_geo_lat%5D=&user%5Bspotx_user_geo_lon%5D=&spotx_query_params=&custom=,",,,,,,,,,,Pass,Pass,pass,pass,,,
